generations,N,M,K,P,b,c,β,u,v,p1,p2,ϵ,DD_mean_final,DC_mean_final,CD_mean_final,CC_mean_final,y,z,g,h,sia_sid,sia_sjd
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,0.0,0.0,1.0,0.2587893424999024,0.24081407750001677,0.23455384374996582,0.2658427362500322,0.9817610425580964,0.9175278593667593,0.9017018248761931,0.9009995401766658,0.2658427362500322,0.2654563643892098
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,0.25,0.25,1.0,0.27196220750012046,0.23468127374977507,0.24606872000002522,0.2472877987498716,0.9814384796736535,0.9161860879549438,0.9001377921180986,0.8994391912041172,0.2472877987498716,0.24715070054763477
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,0.5,0.5,1.0,0.21304080249990084,0.23589810499964886,0.27984124625030454,0.27121984625011564,0.9804595040962163,0.9169492659043778,0.9002882966699609,0.8993829558738827,0.27121984625011564,0.271422041340563
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,0.75,0.75,1.0,0.3330716762494928,0.244000333750141,0.23154932250002488,0.19137866749971755,0.9812146280706,0.9159258259056211,0.9008748466708958,0.8995664763571529,0.19137866749971755,0.19110230347455778
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,1.0,1.0,1.0,0.21638097499987377,0.24494446749983817,0.3015604424998713,0.2371141150000522,0.7464391605208318,-0.025641025637742818,0.21875238190548857,-0.02538592759465035,0.2371141150000522,0.25418799194621755
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,0.0,0.0,1.0,0.2708417337499782,0.23351892250005477,0.24749756250011343,0.24814178124996605,0.9801749463400607,0.9145265006478455,0.8978971582729718,0.8968382659620916,0.24814178124996605,0.24766652591356025
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,0.25,0.25,1.0,0.2594928875001097,0.24967743500000056,0.2554663837499372,0.2353632937498163,0.9819779370449331,0.9172706857762769,0.9014996620543116,0.9008689146254784,0.2353632937498163,0.2353061536573867
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,0.5,0.5,1.0,0.24752560624976033,0.22592402374970955,0.24374802375007704,0.2828023462503247,0.9808073814047901,0.9161625988537214,0.9002158842353251,0.8992167501735417,0.2828023462503247,0.2830205832309792
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,0.75,0.75,1.0,0.2904338787499431,0.24868722500014165,0.24785423749973498,0.21302465874985418,0.9802376182635667,0.9122216050084846,0.8956665539148053,0.8946724092188792,0.21302465874985418,0.21363910798677072
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,1.0,1.0,1.0,0.22250416125005024,0.25530997624992324,0.2630215024999877,0.25916436000012016,0.743258920392064,-0.025641025637742818,0.22169590073876194,-0.02540311677142496,0.25916436000012016,0.2745518517543754
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,0.0,0.0,1.0,0.2393665862497211,0.25387943750003533,0.2989761375000096,0.2077778387499597,0.9815113487756529,0.9161698228271147,0.9004645844260203,0.8996400493353535,0.2077778387499597,0.20821850262145425
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,0.25,0.25,1.0,0.28655757374982876,0.21843077625007573,0.20686580999987472,0.28814583999989063,0.9814400152508554,0.918668871289891,0.9033546412863659,0.9023226335301321,0.28814583999989063,0.2873066092062246
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,0.5,0.5,1.0,0.24673030625013817,0.30871431124951926,0.24646583375016115,0.1980895487498789,0.9801536066608554,0.9162850347507121,0.8991733571830391,0.8983695854659647,0.1980895487498789,0.19878240810892767
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,0.75,0.75,1.0,0.2580712350000652,0.23292737500014202,0.24508835499976683,0.2639130349998732,0.979910547173724,0.9140851548793583,0.896505436543479,0.8957882024716174,0.2639130349998732,0.2640025324378503
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,1.0,1.0,1.0,0.2669897737501594,0.2550681537498657,0.1879089649996759,0.29003310749980693,0.7281928280913013,-0.025641025637742818,0.2360369563649616,-0.02536621394420107,0.29003310749980693,0.2809259439388155
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,0.0,0.0,1.0,0.26971328125001925,0.2959234449999458,0.21784646874986827,0.21651680500010406,0.982280972109443,0.9176065327002475,0.9025479318631893,0.9017296765665556,0.21651680500010406,0.21657705853580678
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,0.25,0.25,1.0,0.24250312249987138,0.2525644562499526,0.2528534412500812,0.252078980000082,0.9820078077508023,0.9167903770582082,0.9012466417345956,0.9005437993428972,0.252078980000082,0.2518335295108122
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,0.5,0.5,1.0,0.23421327625002056,0.25143113875018236,0.2311154512499841,0.2832401337497755,0.9801285593530087,0.9148113018028005,0.8980131911592588,0.8970282122289388,0.2832401337497755,0.28324183670642855
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,0.75,0.75,1.0,0.24002586500028264,0.26969070374971693,0.24983702249997616,0.24044640875004172,0.979930395186916,0.9165809443681527,0.8997184914797023,0.8986696899686228,0.24044640875004172,0.24062337573050652
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.0022360679774997894,1.0,1.0,1.0,0.3208225899997139,0.24807663499994326,0.2400521587499816,0.1910486162498109,0.7269267887879658,-0.025641025637742818,0.2375204604535264,-0.02539074855280191,0.1910486162498109,0.15924162736281453
